title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Labyrinth,PT54M,,['Sanchi Garg'],['Sanchi Garg'],"['Chirag Bhardwaj', 'Shivesh Kumar', 'Parth Jha', 'Jatin Mehra', 'Nithin Kumar', 'G. Ramakrishnan', 'Lokesh Garg', 'Sachin Garg', 'Megha Khatri', 'Palash Vashisth']",['Thriller'],"May 26, 2024 (India)",['Hindi'],['Sanchi Garg Films']
A Stranger by the Hill,PT1H40M,,['Munindr Kumar'],['Munindr Kumar'],"['Dishant Guliya', 'Purvi Mundada', 'Noora Tenzin']",['Thriller'],"June 21, 2024 (India)",['Hindi'],['MG Films Garage']
The Clan,PT1H16M,,['Gln'],['Gln'],"['Amrit Anand', 'Anoushka Chauhan', 'Rekha Dahatonde', 'Shiv Mourya', 'Sujit Pandey', 'Adesh Pandit', 'Harshal Jitendra Pawar', 'Abhishek Singh']",['Crime'],"June 22, 2024 (India)",['Hindi'],['Filmdesign']
The Shortest Cut,PT1H31M,,['Yarthuv Sandeep August'],['Yarthuv Sandeep August'],"['Maria Agrawal', 'Yarthuv Sandeep August', 'Pravesh Mishra']",['Thriller'],"July 7, 2024 (India)",['Hindi'],['Green Life Frames']
Ittar,PT2H10M,,['Veena Bakshi'],['Veena Bakshi'],"['Sanyogita Bhave', 'Devishi Madaan', 'N.K. Pant', 'Mahati Ramesh', 'Jawed Rehman', 'Rituparna Sengupta', 'Eklavya Sood', 'Deepak Tijori']","['Drama', 'Romance']","July 14, 2024 (India)",['Hindi'],['Triforce Cinemas and Entertainment']
Krime Komedy Karma,PT1H10M,,['Prabhat Sachdeva'],"['Ekal Deep Kaur', 'Farhad Samji']","['Aishwarya Raj Bhakuni', 'Preet Bhatti', 'K.P. Maurya', 'Farhad Samji', 'Nanda Yadav']",['Comedy'],"July 17, 2024 (India)",['Hindi'],['Infilms Productions']
Paati,PT1H,,"['Amrik', 'Parth Manocha']",['Amrik'],"['Rajeev Agarwal', 'Anju Gupta', 'Isha Sharna']",['Drama'],"July 19, 2024 (India)",['Hindi'],[]
Seclusion,PT18M,,['Saksham Sharma'],['Saksham Sharma'],['Parth Dwivedi'],['Thriller'],"July 20, 2024 (India)",['Hindi'],[]
Prayog,PT2H,,['Govind Mishra'],"['Govind Mishra', 'Narendra Singh']","['Vinay Ambast', 'Poonam Patel', 'Krishnanand Tiwari', 'Anand Kumar']","['Drama', 'Family']","July 22, 2024 (India)",['Hindi'],[]
De Ijaazat Rahun Tujhme,PT2H,,['Awani Agrawal'],"['Awani Agarwal', 'Vishal Singh']","['Rajpal Naurang Yadav', 'Rajeev Vashishth', 'Aishwarya Arora', 'Sourav Chakraborty', 'Gurleen Chopra', 'Narendra Jha', 'Manoj Joshi', 'Devesh Kumar', 'Mohit Madaan', 'Prashant Singh Raghuvanshi', 'Gauri Shankar', 'Karan Singh Thakur', 'Rishikesh Tiwari']",['Thriller'],"July 26, 2024 (India)",['Hindi'],"['Amrut Creation', 'Holy River Creation']"
Helen,PT2H3M,,['Saurabh Choudhary'],[],"['Sunny Leone', 'Sagar Mahant']",['Thriller'],"August 16, 2024 (India)",['Hindi'],['MKG Films']
Interrogation,PT2H2M,,"['Ajoy Varma Raja', 'Preksha S. Agarwal']","['Sanil Kokate', 'Ajoy Varma Raja', 'Harsh Shah']","['Kunwar Pragy Arya', 'Darshan Jariwala', 'Girish Kulkarni', 'Rajpal Naurang Yadav', 'Yashpal Sharma', 'Ritooja Shinde', 'Abhimanyu Singh', 'Manu Singh']",['Thriller'],"August 30, 2024 (India)",['Hindi'],[]
Middle Finger,PT50M,,['Gaurav Prabhakar Mali'],['Gaurav Prabhakar Mali'],"['Amit Gaurav', 'Kavya Harkawat', 'Anup Kumar Jhambani', 'Naveen Jinger', 'Palak Kayath', 'Ramesh Nagda', 'Ashutosh Pandey', 'Hrishi Purohit', 'Harlin Sharma', 'Rohit Singh']",['Crime'],"August 30, 2024 (India)","['Hindi', 'Marathi']","['Sakar Films & Events', 'The Raw Films']"
1600 Meter,PT1H46M,,['Hariom Kaushik'],"['Hariom Kaushik', 'Hemant Kaushik', 'Vipan Malawat']","['Aakarshan Singh', 'Jogi Mallang', 'Mohit Nain', 'Akanksha Bhardwaj', 'Yogesh Bhardwaj', 'Ranjeet Chauhan', 'Sumit Dhankher', 'Manish Kumar', 'Meena Malik', 'Neeva Malik', 'Mukesh Musafir', 'Minakshi Sain', 'Sandeep Sharma', 'Sanju Sharma']","['Drama', 'Family', 'Sport']","September 17, 2024 (India)","['Hindi', 'Haryanvi']",['Om Kaushik Films']
Kulfi,PT1H25M,,['Pramith Ganguly'],[],['Harish Shaw'],['Drama'],"September 20, 2024 (India)",['Hindi'],"['Valley House Films', 'Valley House Films']"
Panne,PT2H42M,,['Ram Alladi'],"['Ram Alladi', 'Deepti Gangrade', 'Aazam Salim Khan']","['Silpa Das', 'Krishna Goda', 'Sam Mukherjee', 'Pankaj Munshi', 'Anand Rangarajan', 'Kalpana Tiwari']","['Drama', 'Family']","September 27, 2024 (India)",['Hindi'],['Ar Itworks']
Rudra & Return of King Makoonga,PT45M,,['Vishwajeet Shinde'],"[""Jovita D'Souza""]","['Vinod Kulkarni', 'Shailender Pandey']",['Animation'],"September 29, 2024 (India)",['Hindi'],[]
Lailaa Manju,PT53M,,['Kamya Nair'],"['Kalpak Bhave', 'Kamya Nair', 'Prithvi Sahir Vatsalya']","['Sagar Deshmukh', 'Suhas Joshi', 'Mansi Puggal', 'Tanvi Lehr Sonigra', 'Shilpa Tulaskar']",['Drama'],"October 12, 2024 (India)",['Hindi'],['CoLaboratory']
Bae Dard,PT2H21M,,['Prashanth Jade'],['Prashanth Jade'],"['Aniruddh Roy', 'Sue Anieson', 'Mann Chhatbar', 'Kavita Jindal', 'Naimunnisa Khan', 'Abhijeet Sahay']",['Comedy'],"October 13, 2024 (India)",['Hindi'],[]
The E-Ghost,PT1H50M,,['Ankush Darode'],['A.L. Bantwal'],"['Chirag Jani', 'Ayesha Khan', 'Sameer Khan', 'Pramod Moutho', 'Amit Poddar', 'Sarika Raghwa']",['Horror'],"October 15, 2024 (United States)",['Hindi'],[]
Settlement,PT1H30M,,['Dinesh Shahdeo'],['Dinesh Shahdeo'],"['Akash Kumar Mittal', 'Priya Parasnath Gupta', 'Priyanshu Raj', 'Ranjit Bihari', 'Shankar Pathak']",['Drama'],"October 18, 2024 (India)",['Hindi'],[]
Free as a Bird,PT16M,,"['Aditya Khude', 'Siddharth Bhamidipati']",['Aditya Khude'],"['Varsha Dandale', 'Siddharth Menon', 'Parna Pethe', 'Ashish Vidyarthi', 'Shrikant Yadav']",['Drama'],"October 22, 2024 (India)",['Hindi'],[]
Go Noni Go,PT1H54M,,['Sonal Dabral'],"['Sonal Dabral', 'Nikhil Sachan']","['P.R. Balan', 'Dimple Kapadia', 'Manav Kaul', 'Ayesha Raza Mishra', 'Athiya Shetty']",['Romance'],"October 23, 2024 (India)",['Hindi'],"['Applause Entertainment Ltd.', 'Ellipsis Entertainment', 'Mrs Funnybones Movies']"
Money Tantra,PT1H40M,,['Anshuman Rawat'],['Anshuman Rawat'],"['Simran Awasthi', 'Sunil Chaturvedi', 'Rajveer S Gaur', 'Ravi Gupta', 'Shailendra Kumar', 'Vijay Mishra', 'Devendu Rajan', 'Veda Rakesh', 'Avinash Shukla']",['Thriller'],"October 25, 2024 (India)",['Hindi'],['Uni Player Films']
Golmaal Jr: Humshakals Ka Golmaal,PT46M,,['Charan Desai'],[],"['Vinod Kulkarni', 'Shanoor Mirza', 'Viral Shah']","['Animation', 'Comedy']","October 25, 2024 (India)",['Hindi'],[]
